experiment,step,metric,value
DC-PPO (50M+50M),9907200,reward,71063.546875
DC-PPO (50M+50M),9958400,reward,72027.984375
DC-PPO (50M+50M),10009600,reward,70269.25
DC-PPO (50M+50M),10060800,reward,70089.7109375
DC-PPO (50M+50M),10112000,reward,70913.4375
DC-PPO (50M+50M),10163200,reward,71908.890625
DC-PPO (50M+50M),10214400,reward,71012.953125
DC-PPO (50M+50M),10265600,reward,71817.3203125
DC-PPO (50M+50M),10316800,reward,71957.4140625
DC-PPO (50M+50M),10368000,reward,72034.3984375
DC-PPO (50M+50M),10419200,reward,70904.4765625
DC-PPO (50M+50M),10470400,reward,70895.5546875
DC-PPO (50M+50M),10521600,reward,70515.4140625
DC-PPO (50M+50M),10572800,reward,70289.7578125
DC-PPO (50M+50M),10624000,reward,71756.84375
DC-PPO (50M+50M),10675200,reward,72104.9765625
DC-PPO (50M+50M),10726400,reward,71163.90625
DC-PPO (50M+50M),10777600,reward,71440.296875
DC-PPO (50M+50M),10828800,reward,71121.2890625
DC-PPO (50M+50M),10880000,reward,70238.1015625
DC-PPO (50M+50M),10931200,reward,71875.1796875
DC-PPO (50M+50M),10982400,reward,70698.0078125
DC-PPO (50M+50M),11033600,reward,71845.328125
DC-PPO (50M+50M),11084800,reward,71875.828125
DC-PPO (50M+50M),11136000,reward,73283.890625
DC-PPO (50M+50M),11187200,reward,72747.4375
DC-PPO (50M+50M),11238400,reward,73087.8515625
DC-PPO (50M+50M),11289600,reward,72893.421875
DC-PPO (50M+50M),11340800,reward,72842.0546875
DC-PPO (50M+50M),11392000,reward,73852.8828125
DC-PPO (50M+50M),11443200,reward,74501.9453125
DC-PPO (50M+50M),11494400,reward,74043.3828125
DC-PPO (50M+50M),11545600,reward,73908.0078125
DC-PPO (50M+50M),11596800,reward,73493.8125
DC-PPO (50M+50M),11648000,reward,73546.4609375
DC-PPO (50M+50M),11699200,reward,74349.859375
DC-PPO (50M+50M),11750400,reward,73936.234375
DC-PPO (50M+50M),11801600,reward,72090.4296875
DC-PPO (50M+50M),11852800,reward,73378.921875
DC-PPO (50M+50M),11904000,reward,72952.25
DC-PPO (50M+50M),11955200,reward,72988.3515625
DC-PPO (50M+50M),12006400,reward,73052.84375
DC-PPO (50M+50M),12057600,reward,73390.7109375
DC-PPO (50M+50M),12108800,reward,74131.546875
DC-PPO (50M+50M),12160000,reward,74954.8828125
DC-PPO (50M+50M),12211200,reward,74644.8203125
DC-PPO (50M+50M),12262400,reward,73797.953125
DC-PPO (50M+50M),12313600,reward,74521.7265625
DC-PPO (50M+50M),12364800,reward,73452.0859375
DC-PPO (50M+50M),12416000,reward,73301.6875
DC-PPO (50M+50M),12467200,reward,73462.8203125
DC-PPO (50M+50M),12518400,reward,73964.0234375
DC-PPO (50M+50M),12569600,reward,73148.4921875
DC-PPO (50M+50M),12620800,reward,73475.7890625
DC-PPO (50M+50M),12672000,reward,74779.34375
DC-PPO (50M+50M),12723200,reward,74494.8984375
DC-PPO (50M+50M),12774400,reward,74251.6953125
DC-PPO (50M+50M),12825600,reward,73915.3046875
DC-PPO (50M+50M),12876800,reward,73913.390625
DC-PPO (50M+50M),12928000,reward,74329.6484375
