series,learning_episode,raw_value,three_point_smoothed_value
"MAPPO (strict 1+5, stochastic train)",593.0,444290.71875,444682.9166666667
"MAPPO (strict 1+5, stochastic train)",595.0,448417.59375,446316.34375
"MAPPO (strict 1+5, stochastic train)",597.0,446240.71875,447790.28125
"MAPPO (strict 1+5, stochastic train)",599.0,448712.53125,446992.3541666667
"MAPPO (strict 1+5, stochastic train)",601.0,446023.8125,446692.2604166667
"MAPPO (strict 1+5, stochastic train)",603.0,445340.4375,446048.6458333333
"MAPPO (strict 1+5, stochastic train)",605.0,446781.6875,446350.4375
"MAPPO (strict 1+5, stochastic train)",607.0,446929.1875,444949.53125
"MAPPO (strict 1+5, stochastic train)",609.0,441137.71875,443464.1666666667
"MAPPO (strict 1+5, stochastic train)",611.0,442325.59375,441403.2604166667
"MAPPO (strict 1+5, stochastic train)",613.0,440746.46875,441327.1145833333
"MAPPO (strict 1+5, stochastic train)",615.0,440909.28125,441745.1145833333
"MAPPO (strict 1+5, stochastic train)",617.0,443579.59375,442946.75
"MAPPO (strict 1+5, stochastic train)",619.0,444351.375,444776.8125
"MAPPO (strict 1+5, stochastic train)",621.0,446399.46875,446374.6666666667
"MAPPO (strict 1+5, stochastic train)",623.0,448373.15625,445942.4166666667
"MAPPO (strict 1+5, stochastic train)",625.0,443054.625,446379.75
"MAPPO (strict 1+5, stochastic train)",627.0,447711.46875,447038.5833333333
"MAPPO (strict 1+5, stochastic train)",629.0,450349.65625,449487.7708333333
"MAPPO (strict 1+5, stochastic train)",631.0,450402.1875,447886.3333333333
"MAPPO (strict 1+5, stochastic train)",633.0,442907.15625,447793.0
"MAPPO (strict 1+5, stochastic train)",635.0,450069.65625,448415.1666666667
"MAPPO (strict 1+5, stochastic train)",637.0,452268.6875,450851.7083333333
"MAPPO (strict 1+5, stochastic train)",639.0,450216.78125,451001.3958333333
"MAPPO (strict 1+5, stochastic train)",641.0,450518.71875,449991.3645833333
"MAPPO (strict 1+5, stochastic train)",643.0,449238.59375,450430.3958333333
"MAPPO (strict 1+5, stochastic train)",645.0,451533.875,449241.4791666667
"MAPPO (strict 1+5, stochastic train)",647.0,446951.96875,448854.9270833333
"MAPPO (strict 1+5, stochastic train)",649.0,448078.9375,448728.8958333333
"MAPPO (strict 1+5, stochastic train)",651.0,451155.78125,448736.2291666667
"MAPPO (strict 1+5, stochastic train)",653.0,446973.96875,451067.1770833333
"MAPPO (strict 1+5, stochastic train)",655.0,455071.78125,452245.125
"MAPPO (strict 1+5, stochastic train)",657.0,454689.625,455776.1875
"MAPPO (strict 1+5, stochastic train)",659.0,457567.15625,455717.1666666667
"MAPPO (strict 1+5, stochastic train)",661.0,454894.71875,456091.7291666667
"MAPPO (strict 1+5, stochastic train)",663.0,455813.3125,455014.09375
"MAPPO (strict 1+5, stochastic train)",665.0,454334.25,454509.1145833333
"MAPPO (strict 1+5, stochastic train)",667.0,453379.78125,454278.40625
"MAPPO (strict 1+5, stochastic train)",669.0,455121.1875,453349.90625
"MAPPO (strict 1+5, stochastic train)",671.0,451548.75,453448.15625
"MAPPO (strict 1+5, stochastic train)",673.0,453674.53125,454489.5729166667
"MAPPO (strict 1+5, stochastic train)",675.0,458245.4375,456061.1770833333
"MAPPO (strict 1+5, stochastic train)",677.0,456263.5625,457480.5833333333
"MAPPO (strict 1+5, stochastic train)",679.0,457932.75,458273.6979166667
"MAPPO (strict 1+5, stochastic train)",681.0,460624.78125,459798.3229166667
"MAPPO (strict 1+5, stochastic train)",683.0,460837.4375,460325.8854166667
"MAPPO (strict 1+5, stochastic train)",685.0,459515.4375,460403.8333333333
"MAPPO (strict 1+5, stochastic train)",687.0,460858.625,460627.46875
"MAPPO (strict 1+5, stochastic train)",689.0,461508.34375,461260.4270833333
"MAPPO (strict 1+5, stochastic train)",691.0,461414.3125,458990.28125
"MAPPO (strict 1+5, stochastic train)",693.0,454048.1875,456918.5
"MAPPO (strict 1+5, stochastic train)",695.0,455293.0,455762.5833333333
"MAPPO (strict 1+5, stochastic train)",697.0,457946.5625,456046.8125
"MAPPO (strict 1+5, stochastic train)",699.0,454900.875,455739.5625
"MAPPO (strict 1+5, stochastic train)",701.0,454371.25,453197.2291666667
"MAPPO (strict 1+5, stochastic train)",703.0,450319.5625,451521.2916666667
"MAPPO (strict 1+5, stochastic train)",705.0,449873.0625,449388.03125
"MAPPO (strict 1+5, stochastic train)",707.0,447971.46875,449679.1041666667
"MAPPO (strict 1+5, stochastic train)",709.0,451192.78125,450486.46875
"MAPPO (strict 1+5, stochastic train)",711.0,452295.15625,453439.6041666667
"MAPPO (strict 1+5, stochastic train)",713.0,456830.875,454689.40625
"MAPPO (strict 1+5, stochastic train)",715.0,454942.1875,454702.6770833333
"MAPPO (strict 1+5, stochastic train)",717.0,452334.96875,455302.65625
"MAPPO (strict 1+5, stochastic train)",719.0,458630.8125,455937.9895833333
"MAPPO (strict 1+5, stochastic train)",721.0,456848.1875,458574.90625
"MAPPO (strict 1+5, stochastic train)",723.0,460245.71875,459489.1145833333
"MAPPO (strict 1+5, stochastic train)",725.0,461373.4375,460188.875
"MAPPO (strict 1+5, stochastic train)",727.0,458947.46875,459441.78125
"MAPPO (strict 1+5, stochastic train)",729.0,458004.4375,458742.9479166667
