series,segment,cumulative_steps,learning_episode,raw_or_mean,three_point_smoothed
"MAPPO (fixed 60, 3 seeds)",historical,5248000.0,205.0,414730.3274016204,414730.3274016204
"MAPPO (fixed 60, 3 seeds)",historical,5299200.0,207.0,415776.12355324073,415776.12355324073
"MAPPO (fixed 60, 3 seeds)",historical,5350400.0,209.0,416120.30830439815,416120.30830439815
"MAPPO (fixed 60, 3 seeds)",historical,5401600.0,211.0,415826.50810185185,415826.50810185185
"MAPPO (fixed 60, 3 seeds)",historical,5452800.0,213.0,416401.62080439815,416401.62080439815
"MAPPO (fixed 60, 3 seeds)",historical,5504000.0,215.0,416723.48784722225,416723.48784722225
"MAPPO (fixed 60, 3 seeds)",historical,5555200.0,217.0,417344.9301215278,417344.9301215278
"MAPPO (fixed 60, 3 seeds)",historical,5606400.0,219.0,416990.1817129629,416990.1817129629
"MAPPO (fixed 60, 3 seeds)",historical,5657600.0,221.0,416924.68793402775,416924.68793402775
"MAPPO (fixed 60, 3 seeds)",historical,5708800.0,223.0,417111.9008969907,417111.9008969907
"MAPPO (fixed 60, 3 seeds)",historical,5760000.0,225.0,417947.0203993055,417947.0203993055
"MAPPO (fixed 60, 3 seeds)",historical,5811200.0,227.0,419033.9871238426,419033.9871238426
"MAPPO (fixed 60, 3 seeds)",historical,5862400.0,229.0,419493.9580439815,419493.9580439815
"MAPPO (fixed 60, 3 seeds)",historical,5913600.0,231.0,419186.3310185185,419186.3310185185
"MAPPO (fixed 60, 3 seeds)",historical,5964800.0,233.0,419130.47786458326,419130.47786458326
"MAPPO (fixed 60, 3 seeds)",historical,6016000.0,235.0,419855.20095486107,419855.20095486107
"MAPPO (fixed 60, 3 seeds)",historical,6067200.0,237.0,422075.9139178241,422075.9139178241
"MAPPO (fixed 60, 3 seeds)",historical,6118400.0,239.0,423636.107494213,423636.107494213
"MAPPO (fixed 60, 3 seeds)",historical,6169600.0,241.0,425190.9063946759,425190.9063946759
"MAPPO (fixed 60, 3 seeds)",historical,6220800.0,243.0,426411.2012442129,426411.2012442129
"MAPPO (fixed 60, 3 seeds)",historical,6272000.0,245.0,427703.17693865736,427703.17693865736
"MAPPO (fixed 60, 3 seeds)",historical,6323200.0,247.0,428571.9087094907,428571.9087094907
"MAPPO (fixed 60, 3 seeds)",historical,6374400.0,249.0,428643.12109375,428643.12109375
"MAPPO (fixed 60, 3 seeds)",historical,6425600.0,251.0,428977.69994212966,428977.69994212966
"MAPPO (fixed 60, 3 seeds)",historical,6476800.0,253.0,428906.5914351852,428906.5914351852
"MAPPO (fixed 60, 3 seeds)",historical,6528000.0,255.0,428453.8682002315,428453.8682002315
"MAPPO (fixed 60, 3 seeds)",historical,6579200.0,257.0,428231.748119213,428231.748119213
"MAPPO (fixed 60, 3 seeds)",historical,6630400.0,259.0,428531.05020254635,428531.05020254635
"MAPPO (fixed 60, 3 seeds)",historical,6681600.0,261.0,429971.15625,429971.15625
"MAPPO (fixed 60, 3 seeds)",historical,6732800.0,263.0,430883.6290509259,430883.6290509259
"MAPPO (fixed 60, 3 seeds)",historical,6784000.0,265.0,432243.6597222222,432243.6597222222
"MAPPO (fixed 60, 3 seeds)",historical,6835200.0,267.0,432798.04615162034,432798.04615162034
"MAPPO (fixed 60, 3 seeds)",historical,6886400.0,269.0,433222.68359374994,433222.68359374994
"MAPPO (fixed 60, 3 seeds)",historical,6937600.0,271.0,432413.8291377315,432413.8291377315
"MAPPO (fixed 60, 3 seeds)",historical,6988800.0,273.0,431904.5455729167,431904.5455729167
"MAPPO (fixed 60, 3 seeds)",historical,7040000.0,275.0,431715.04644097225,431715.04644097225
"MAPPO (fixed 60, 3 seeds)",historical,7091200.0,277.0,432287.61791087966,432287.61791087966
