series,environment_steps,raw_value,three_point_smoothed_value
DC-PPO strict 1+5 reference,61904000,451763.4375,452107.6458333333
DC-PPO strict 1+5 reference,61955200,452175.5,451457.3958333333
DC-PPO strict 1+5 reference,62006400,450433.25,451292.0729166667
DC-PPO strict 1+5 reference,62057600,451267.46875,451919.03125
DC-PPO strict 1+5 reference,62108800,454056.375,453221.0833333333
DC-PPO strict 1+5 reference,62160000,454339.40625,453241.3125
DC-PPO strict 1+5 reference,62211200,451328.15625,452850.25
DC-PPO strict 1+5 reference,62262400,452883.1875,451711.0520833333
DC-PPO strict 1+5 reference,62313600,450921.8125,451262.4895833333
DC-PPO strict 1+5 reference,62364800,449982.46875,450057.9479166667
DC-PPO strict 1+5 reference,62416000,449269.5625,449392.7916666667
DC-PPO strict 1+5 reference,62467200,448926.34375,449479.3958333333
DC-PPO strict 1+5 reference,62518400,450242.28125,449682.8645833333
DC-PPO strict 1+5 reference,62569600,449879.96875,449721.0625
DC-PPO strict 1+5 reference,62620800,449040.9375,448936.53125
DC-PPO strict 1+5 reference,62672000,447888.6875,448933.4479166667
DC-PPO strict 1+5 reference,62723200,449870.71875,449330.5833333333
DC-PPO strict 1+5 reference,62774400,450232.34375,450660.6875
DC-PPO strict 1+5 reference,62825600,451879.0,450640.9895833333
DC-PPO strict 1+5 reference,62876800,449811.625,449609.8854166667
DC-PPO strict 1+5 reference,62928000,447139.03125,448972.7916666667
DC-PPO strict 1+5 reference,62979200,449967.71875,449889.4166666667
DC-PPO strict 1+5 reference,63030400,452561.5,451729.09375
DC-PPO strict 1+5 reference,63081600,452658.0625,451604.5104166667
DC-PPO strict 1+5 reference,63132800,449593.96875,451156.5416666667
DC-PPO strict 1+5 reference,63184000,451217.59375,449924.1145833333
DC-PPO strict 1+5 reference,63235200,448960.78125,449847.5833333333
DC-PPO strict 1+5 reference,63286400,449364.375,448729.53125
DC-PPO strict 1+5 reference,63337600,447863.4375,448952.0416666667
DC-PPO strict 1+5 reference,63388800,449628.3125,449361.9479166667
DC-PPO strict 1+5 reference,63440000,450594.09375,450323.9791666667
DC-PPO strict 1+5 reference,63491200,450749.53125,451281.0
DC-PPO strict 1+5 reference,63542400,452499.375,452271.0833333333
DC-PPO strict 1+5 reference,63593600,453564.34375,452571.6979166667
DC-PPO strict 1+5 reference,63644800,451651.375,453274.5416666667
DC-PPO strict 1+5 reference,63696000,454607.90625,452970.8854166667
DC-PPO strict 1+5 reference,63747200,452653.375,452782.90625
DC-PPO strict 1+5 reference,63798400,451087.4375,452602.21875
DC-PPO strict 1+5 reference,63849600,454065.84375,453622.2291666667
DC-PPO strict 1+5 reference,63900800,455713.40625,456347.1875
DC-PPO strict 1+5 reference,63952000,459262.3125,457881.5
DC-PPO strict 1+5 reference,64003200,458668.78125,458849.5
DC-PPO strict 1+5 reference,64054400,458617.40625,458721.1458333333
DC-PPO strict 1+5 reference,64105600,458877.25,458018.1354166667
DC-PPO strict 1+5 reference,64156800,456559.75,457552.5416666667
DC-PPO strict 1+5 reference,64208000,457220.625,457254.78125
DC-PPO strict 1+5 reference,64259200,457983.96875,457793.65625
DC-PPO strict 1+5 reference,64310400,458176.375,458821.0729166667
DC-PPO strict 1+5 reference,64361600,460302.875,459086.2291666667
DC-PPO strict 1+5 reference,64412800,458779.4375,459292.6979166667
DC-PPO strict 1+5 reference,64464000,458795.78125,459243.5729166667
DC-PPO strict 1+5 reference,64515200,460155.5,459614.1458333333
DC-PPO strict 1+5 reference,64566400,459891.15625,460730.7395833333
DC-PPO strict 1+5 reference,64617600,462145.5625,461580.5
DC-PPO strict 1+5 reference,64668800,462704.78125,462885.78125
DC-PPO strict 1+5 reference,64720000,463807.0,463657.9270833333
DC-PPO strict 1+5 reference,64771200,464462.0,464223.875
DC-PPO strict 1+5 reference,64822400,464402.625,464818.8020833333
DC-PPO strict 1+5 reference,64873600,465591.78125,463916.4375
DC-PPO strict 1+5 reference,64924800,461754.90625,463937.1979166667
DC-PPO strict 1+5 reference,64976000,464464.90625,463608.09375
DC-PPO strict 1+5 reference,65027200,464604.46875,464061.3333333333
DC-PPO strict 1+5 reference,65078400,463114.625,462677.3541666667
DC-PPO strict 1+5 reference,65129600,460312.96875,461783.3229166667
DC-PPO strict 1+5 reference,65180800,461922.375,461619.0208333333
DC-PPO strict 1+5 reference,65232000,462621.71875,462191.3020833333
DC-PPO strict 1+5 reference,65283200,462029.8125,461453.2083333333
DC-PPO strict 1+5 reference,65334400,459708.09375,460329.6145833333
DC-PPO strict 1+5 reference,65385600,459250.9375,460054.7395833333
DC-PPO strict 1+5 reference,65436800,461205.1875,460304.0625
DC-PPO strict 1+5 reference,65488000,460456.0625,460063.21875
DC-PPO strict 1+5 reference,65539200,458528.40625,458734.2395833333
DC-PPO strict 1+5 reference,65590400,457218.25,456878.2291666667
DC-PPO strict 1+5 reference,65641600,454888.03125,455806.7916666667
DC-PPO strict 1+5 reference,65692800,455314.09375,455324.7083333333
DC-PPO strict 1+5 reference,65744000,455772.0,454519.0833333333
DC-PPO strict 1+5 reference,65795200,452471.15625,453383.34375
DC-PPO strict 1+5 reference,65846400,451906.875,452104.9791666667
DC-PPO strict 1+5 reference,65897600,451936.90625,452631.3541666667
DC-PPO strict 1+5 reference,65948800,454050.28125,452581.3645833333
DC-PPO strict 1+5 reference,66000000,451756.90625,452069.0
DC-PPO strict 1+5 reference,66051200,450399.8125,451745.28125
DC-PPO strict 1+5 reference,66102400,453079.125,452121.3645833333
DC-PPO strict 1+5 reference,66153600,452885.15625,453004.3541666667
DC-PPO strict 1+5 reference,66204800,453048.78125,453048.59375
DC-PPO strict 1+5 reference,66256000,453211.84375,453635.8541666667
DC-PPO strict 1+5 reference,66307200,454646.9375,454337.4270833333
DC-PPO strict 1+5 reference,66358400,455153.5,454724.21875
DC-PPO strict 1+5 reference,66409600,454372.21875,454426.0520833333
DC-PPO strict 1+5 reference,66460800,453752.4375,454294.0208333333
DC-PPO strict 1+5 reference,66512000,454757.40625,454000.1145833333
DC-PPO strict 1+5 reference,66563200,453490.5,453724.6041666667
DC-PPO strict 1+5 reference,66614400,452925.90625,452230.5729166667
DC-PPO strict 1+5 reference,66665600,450275.3125,451358.3125
DC-PPO strict 1+5 reference,66716800,450873.71875,451538.9166666667
DC-PPO strict 1+5 reference,66768000,453467.71875,452573.7916666667
