series,local_learning_episode,raw_value,three_point_smoothed_value
MAPPO continuation (local x),537.0,494089.46875,494093.625
MAPPO continuation (local x),539.0,494282.6875,494452.7083333333
MAPPO continuation (local x),541.0,494985.96875,495582.4583333333
MAPPO continuation (local x),543.0,497478.71875,495890.75
MAPPO continuation (local x),545.0,495207.5625,496047.9791666667
MAPPO continuation (local x),547.0,495457.65625,494715.71875
MAPPO continuation (local x),549.0,493481.9375,494184.3645833333
MAPPO continuation (local x),551.0,493613.5,494538.84375
MAPPO continuation (local x),553.0,496521.09375,494586.34375
MAPPO continuation (local x),555.0,493624.4375,494679.15625
MAPPO continuation (local x),557.0,493891.9375,493802.28125
MAPPO continuation (local x),559.0,493890.46875,493337.7395833333
MAPPO continuation (local x),561.0,492230.8125,493127.5
MAPPO continuation (local x),563.0,493261.21875,493499.9895833333
MAPPO continuation (local x),565.0,495007.9375,494957.9270833333
MAPPO continuation (local x),567.0,496604.625,495146.1041666667
MAPPO continuation (local x),569.0,493825.75,495447.1041666667
MAPPO continuation (local x),571.0,495910.9375,494913.25
MAPPO continuation (local x),573.0,495003.0625,495545.6875
MAPPO continuation (local x),575.0,495723.0625,495822.2291666667
MAPPO continuation (local x),577.0,496740.5625,496418.0
MAPPO continuation (local x),579.0,496790.375,496914.8958333333
MAPPO continuation (local x),581.0,497213.75,496413.7916666667
MAPPO continuation (local x),583.0,495237.25,495948.2395833333
MAPPO continuation (local x),585.0,495393.71875,495426.09375
MAPPO continuation (local x),587.0,495647.3125,495465.875
MAPPO continuation (local x),589.0,495356.59375,495336.9166666667
MAPPO continuation (local x),591.0,495006.84375,494729.53125
MAPPO continuation (local x),593.0,493825.15625,494592.5104166667
MAPPO continuation (local x),595.0,494945.53125,494648.5
MAPPO continuation (local x),597.0,495174.8125,495577.7604166667
MAPPO continuation (local x),599.0,496612.9375,495916.96875
MAPPO continuation (local x),601.0,495963.15625,496075.2604166667
MAPPO continuation (local x),603.0,495649.6875,496100.3229166667
MAPPO continuation (local x),605.0,496688.125,496391.9375
MAPPO continuation (local x),607.0,496838.0,496527.2395833333
MAPPO continuation (local x),609.0,496055.59375,496248.3125
MAPPO continuation (local x),611.0,495851.34375,495303.9479166667
MAPPO continuation (local x),613.0,494004.90625,495316.40625
MAPPO continuation (local x),615.0,496092.96875,495133.8854166667
MAPPO continuation (local x),617.0,495303.78125,495905.6354166667
MAPPO continuation (local x),619.0,496320.15625,495877.0416666667
MAPPO continuation (local x),621.0,496007.1875,496269.03125
MAPPO continuation (local x),623.0,496479.75,496231.9479166667
MAPPO continuation (local x),625.0,496208.90625,496245.8020833333
MAPPO continuation (local x),627.0,496048.75,496732.4895833333
MAPPO continuation (local x),629.0,497939.8125,497090.9791666667
MAPPO continuation (local x),631.0,497284.375,497320.78125
MAPPO continuation (local x),633.0,496738.15625,496431.65625
MAPPO continuation (local x),635.0,495272.4375,495889.71875
MAPPO continuation (local x),637.0,495658.5625,496006.8229166667
MAPPO continuation (local x),639.0,497089.46875,497049.2291666667
MAPPO continuation (local x),641.0,498399.65625,498707.21875
MAPPO continuation (local x),643.0,500632.53125,499210.2604166667
MAPPO continuation (local x),645.0,498598.59375,498984.7708333333
MAPPO continuation (local x),647.0,497723.1875,498383.2083333333
MAPPO continuation (local x),649.0,498827.84375,498325.5
MAPPO continuation (local x),651.0,498425.46875,497946.59375
MAPPO continuation (local x),653.0,496586.46875,497922.9791666667
MAPPO continuation (local x),655.0,498757.0,497927.75
MAPPO continuation (local x),657.0,498439.78125,499056.0208333333
MAPPO continuation (local x),659.0,499971.28125,499776.3541666667
MAPPO continuation (local x),661.0,500918.0,499439.1875
MAPPO continuation (local x),663.0,497428.28125,498336.0833333333
MAPPO continuation (local x),665.0,496661.96875,496745.4895833333
MAPPO continuation (local x),667.0,496146.21875,495907.2916666667
MAPPO continuation (local x),669.0,494913.6875,495445.5520833333
MAPPO continuation (local x),671.0,495276.75,495265.5729166667
MAPPO continuation (local x),673.0,495606.28125,495978.78125
MAPPO continuation (local x),675.0,497053.3125,497041.75
MAPPO continuation (local x),677.0,498465.65625,498181.875
MAPPO continuation (local x),679.0,499026.65625,499566.6979166667
MAPPO continuation (local x),681.0,501207.78125,500706.9583333333
MAPPO continuation (local x),683.0,501886.4375,500839.375
MAPPO continuation (local x),685.0,499423.90625,500263.1354166667
MAPPO continuation (local x),687.0,499479.0625,499763.8854166667
MAPPO continuation (local x),689.0,500388.6875,499912.5
MAPPO continuation (local x),691.0,499869.75,499745.1145833333
MAPPO continuation (local x),693.0,498976.90625,498743.6666666667
MAPPO continuation (local x),695.0,497384.34375,498157.0208333333
MAPPO continuation (local x),697.0,498109.8125,497654.78125
MAPPO continuation (local x),699.0,497470.1875,497735.1979166667
MAPPO continuation (local x),701.0,497625.59375,497580.0520833333
MAPPO continuation (local x),703.0,497644.375,497310.2395833333
MAPPO continuation (local x),705.0,496660.75,497216.78125
MAPPO continuation (local x),707.0,497345.21875,497782.71875
MAPPO continuation (local x),709.0,499342.1875,499042.1770833333
MAPPO continuation (local x),711.0,500439.125,499476.0208333333
MAPPO continuation (local x),713.0,498646.75,499028.5104166667
MAPPO continuation (local x),715.0,497999.65625,498376.3333333333
MAPPO continuation (local x),717.0,498482.59375,497756.7708333333
MAPPO continuation (local x),719.0,496788.0625,497722.7916666667
MAPPO continuation (local x),721.0,497897.71875,497715.4375
MAPPO continuation (local x),723.0,498460.53125,498604.7708333333
MAPPO continuation (local x),725.0,499456.0625,499554.1041666667
MAPPO continuation (local x),727.0,500745.71875,499807.4791666667
MAPPO continuation (local x),729.0,499220.65625,499253.7916666667
