series,environment_steps,learning_episode,raw_value,three_point_smoothed_value
Q2,16563200,647.0,488379.53125,485538.21875
Q2,16614400,649.0,484946.9375,487292.5104166667
Q2,16665600,651.0,488551.0625,487171.6145833333
Q2,16716800,653.0,488016.84375,487311.2395833333
Q2,16768000,655.0,485365.8125,486569.46875
Q2,16819200,657.0,486325.75,485408.4375
Q2,16870400,659.0,484533.75,485800.0625
Q2,16921600,661.0,486540.6875,482317.65625
Q2,16972800,663.0,475878.53125,479847.5
Q2,17024000,665.0,477123.28125,476732.7916666667
Q2,17075200,667.0,477196.5625,480573.3333333333
Q2,17126400,669.0,487400.15625,480886.15625
Q2,17177600,671.0,478061.75,480586.6145833333
Q2,17228800,673.0,476297.9375,479551.9166666667
Q2,17280000,675.0,484296.0625,480764.7083333333
Q2,17331200,677.0,481700.125,482824.1145833333
Q2,17382400,679.0,482476.15625,485011.5104166667
Q2,17433600,681.0,490858.25,488665.3854166667
Q2,17484800,683.0,492661.75,489871.5208333333
Q2,17536000,685.0,486094.5625,489397.84375
Q2,17587200,687.0,489437.21875,485718.21875
Q2,17638400,689.0,481622.875,486689.6666666667
Q2,17689600,691.0,489008.90625,483775.96875
Q2,17740800,693.0,480696.125,484485.5625
Q2,17792000,695.0,483751.65625,483238.0833333333
Q2,17843200,697.0,485266.46875,481978.8333333333
Q2,17894400,699.0,476918.375,480967.9166666667
Q2,17945600,701.0,480718.90625,481055.8541666667
Q2,17996800,703.0,485530.28125,481111.4375
Q2,18048000,705.0,477085.125,482028.7083333333
Q2,18099200,707.0,483470.71875,479734.8229166667
Q2,18150400,709.0,478648.625,484129.0625
Q2,18201600,711.0,490267.84375,487181.3125
Q2,18252800,713.0,492627.46875,487899.1875
Q2,18304000,715.0,480802.25,485437.1770833333
Q2,18355200,717.0,482881.8125,483914.1145833333
Q2,18406400,719.0,488058.28125,485588.0729166667
Q2,18457600,721.0,485824.125,487862.4791666667
Q2,18508800,723.0,489705.03125,487997.3541666667
Q2,18560000,725.0,488462.90625,488776.75
Q2,18611200,727.0,488162.3125,487881.0625
Q2,18662400,729.0,487017.96875,487170.8645833333
Q2,18713600,731.0,486332.3125,485357.46875
Q2,18764800,733.0,482722.125,482714.4375
Q2,18816000,735.0,479088.875,478615.6458333333
Q2,18867200,737.0,474035.9375,477596.78125
Q2,18918400,739.0,479665.53125,476605.2083333333
Q2,18969600,741.0,476114.15625,476837.09375
