series,source_kind,learning_episode,mean,std
"MAPPO (fixed 60, 3 seeds)",historical,473.0,472995.82638888893,2296.6955840157766
"MAPPO (fixed 60, 3 seeds)",historical,475.0,474530.97048611107,2405.73438061381
"MAPPO (fixed 60, 3 seeds)",historical,477.0,474341.0260416667,2239.6094950516995
"MAPPO (fixed 60, 3 seeds)",historical,479.0,475740.61371527775,1763.676231837959
"MAPPO (fixed 60, 3 seeds)",historical,481.0,473815.02690972225,2302.839895395041
"MAPPO (fixed 60, 3 seeds)",historical,483.0,474089.21788194444,1779.5947730449268
"MAPPO (fixed 60, 3 seeds)",historical,485.0,474683.8272569445,1167.4207638603555
"MAPPO (fixed 60, 3 seeds)",historical,487.0,476177.7552083333,2088.997097805142
"MAPPO (fixed 60, 3 seeds)",historical,489.0,476574.0026041667,2832.904627579351
"MAPPO (fixed 60, 3 seeds)",historical,491.0,475982.38628472225,2526.7986109873355
"MAPPO (fixed 60, 3 seeds)",historical,493.0,476399.9401041667,1086.9201838503805
"MAPPO (fixed 60, 3 seeds)",historical,495.0,477470.6458333333,1306.7538159638273
"MAPPO (fixed 60, 3 seeds)",historical,497.0,479457.55555555556,600.3443908570339
"MAPPO (fixed 60, 3 seeds)",historical,499.0,479807.59288194444,918.1118518343621
"MAPPO (fixed 60, 3 seeds)",historical,501.0,480516.7065972222,1752.74994116328
"MAPPO (fixed 60, 3 seeds)",historical,503.0,481386.1640625,1142.356340412922
"MAPPO (fixed 60, 3 seeds)",historical,505.0,482006.2552083333,711.6454225607823
"MAPPO (fixed 60, 3 seeds)",historical,507.0,481195.546875,1910.1477297867239
"MAPPO (fixed 60, 3 seeds)",historical,509.0,479494.78732638893,2229.29770752635
"MAPPO (fixed 60, 3 seeds)",historical,511.0,478598.77951388893,1105.292910322218
"MAPPO (fixed 60, 3 seeds)",historical,513.0,479373.4869791667,1348.0463529608473
"MAPPO (fixed 60, 3 seeds)",historical,515.0,479024.2769097222,2462.9074475850907
"MAPPO (fixed 60, 3 seeds)",historical,517.0,479747.2413194445,2189.5395149312712
"MAPPO (fixed 60, 3 seeds)",historical,519.0,479144.4730902778,2554.2467190897733
"MAPPO (fixed 60, 3 seeds)",historical,521.0,480423.42013888893,2282.8289495928534
"MAPPO (fixed 60, 3 seeds)",historical,523.0,480020.2126736112,3707.8384557800964
"MAPPO (fixed 60, 3 seeds)",historical,525.0,480606.7447916667,2507.9557666761525
"MAPPO (fixed 60, 3 seeds)",historical,527.0,480949.55555555556,2751.186526736604
