series,environment_steps,environment_steps_million,raw_value,three_point_smoothed_value
MAPPO strict 1+5,6835200,6.8352,380392.1875,381028.9166666667
MAPPO strict 1+5,6886400,6.8864,379693.8125,380950.28125
MAPPO strict 1+5,6937600,6.9376,382764.84375,381970.4479166667
MAPPO strict 1+5,6988800,6.9888,383452.6875,383543.1979166667
MAPPO strict 1+5,7040000,7.04,384412.0625,383397.25
MAPPO strict 1+5,7091200,7.0912,382327.0,382387.4270833333
MAPPO strict 1+5,7142400,7.1424,380423.21875,380649.28125
MAPPO strict 1+5,7193600,7.1936,379197.625,379354.5520833333
MAPPO strict 1+5,7244800,7.2448,378442.8125,379827.7291666667
MAPPO strict 1+5,7296000,7.296,381842.75,380611.6458333333
MAPPO strict 1+5,7347200,7.3472,381549.375,381392.5520833333
MAPPO strict 1+5,7398400,7.3984,380785.53125,382637.0729166667
MAPPO strict 1+5,7449600,7.4496,385576.3125,383753.9895833333
MAPPO strict 1+5,7500800,7.5008,384900.125,386002.7083333333
MAPPO strict 1+5,7552000,7.552,387531.6875,389351.8854166667
MAPPO strict 1+5,7603200,7.6032,395623.84375,392254.4583333333
MAPPO strict 1+5,7654400,7.6544,393607.84375,392567.875
MAPPO strict 1+5,7705600,7.7056,388471.9375,388989.0833333333
MAPPO strict 1+5,7756800,7.7568,384887.46875,388340.125
MAPPO strict 1+5,7808000,7.808,391660.96875,388833.9479166667
MAPPO strict 1+5,7859200,7.8592,389953.40625,389473.1979166667
MAPPO strict 1+5,7910400,7.9104,386805.21875,388602.53125
MAPPO strict 1+5,7961600,7.9616,389048.96875,386455.71875
MAPPO strict 1+5,8012800,8.0128,383512.96875,386116.7291666667
MAPPO strict 1+5,8064000,8.064,385788.25,385028.7083333333
MAPPO strict 1+5,8115200,8.1152,385784.90625,386021.6979166667
MAPPO strict 1+5,8166400,8.1664,386491.9375,386166.6458333333
MAPPO strict 1+5,8217600,8.2176,386223.09375,385679.5416666667
MAPPO strict 1+5,8268800,8.2688,384323.59375,387135.1666666667
MAPPO strict 1+5,8320000,8.32,390858.8125,388901.5520833333
MAPPO strict 1+5,8371200,8.3712,391522.25,394609.2395833333
MAPPO strict 1+5,8422400,8.4224,401446.65625,391666.7916666667
MAPPO strict 1+5,8473600,8.4736,382031.46875,392016.65625
MAPPO strict 1+5,8524800,8.5248,392571.84375,387929.9895833333
